ファイヤー
サンダー
フリーザー
ガラルヒヒダルマ
カミツルギ
パッチラゴン
カイリュー
カプレヒレ
霊獣ボルトロス
ポリゴン２
ミミッキュ
ナットレイ
ユクシー
バクガメス
エルレイド
ミュウツー
ウオノラゴン
マホミル
ユキハミ
メタモン
ツチニン
ヨクバリス
オトスパス
ナマコブシ
マーシャドー
黒バドレックス
ザシアン
カイオーガ
イベルタル
ギャラドス
ブリザポス
レジドラゴ
カメックス
ムゲンダイナ
ザマゼンタ
キングドラ
ニョロトノ
ボルトロス
霊獣ランドロス
ザシアン
ドラパルト
ホウオウ
ガオガエン
ウオノラゴン
ライチュウ
ゴリランダー
エルフーン
エルフーン
ザシアン
ガオガエン
レジエレキ
ウーラオス
霊獣ランドロス
ミミッキュ
ウーラオス
ザシアン
ミカルゲ
ドラパルト
レジギガス
ウーラオス
カプコケコ
ガラルヤドラン
サーナイト
フシギバナ
ドラパルト
ブリムオン
リザードン
ゾロアーク
カメックス
フシギバナ
ホウオウ
ディアルガ
フシギバナ
レジエレキ
エルフーン
コータス
ガオガエン
ゼルネアス
ルナアーラ
ミュウツー
ソルガレオ
ホウオウ
ガラルマッスグマ
ギガイアス
ミュウツー
エルフーン
ポットデス
カプテテフ
メタモン
カプコケコ
インテレオン
ガラルサンダー
エースバーン
ドラパルト
ジガルデ
ウーラオス
ザシアン
サンダー
ミミッキュ
ヌオー
ボルトロス
白バドレックス
ミミッキュ
ガオガエン
ボルトロス
カプレヒレ
ウーラオス
メタモン
ザシアン
ミミッキュ
ウツロイド
エースバーン
ゴリランダー
ガラルデスマス
ガラルダルマッカ
リオル
---
---
---
ボーマンダ
マホイップ
サマヨール
レントラー
ヌオー
オーロンゲ
ウーラオス
ガラルサンダー
レジエレキ
カバルドン
黒バドレックス
ブラッキー
ナットレイ
バシャーモ
ドリュウズ
ギルガルド
サザンドラ
ミミッキュ
リザードン
カバルドン
カイリュー
ミミッキュ
ミュウツー
ストリンダ―
ニンフィア
カイリュー
ナマコブシ
ジャラランガ
ガマゲロゲ
レジドラゴ
ガブリアス
テッカグヤ
スイクン
バシャーモ
ボーマンダ
ザシアン
ポットデス
エースバーン
レジエレキ
アーマーガア
水ロトム
ポリゴン２
カメックス
イベルタル
ゲンガー
ボスゴドラ
ガラルサニーゴ
マッシブーン
エースバーン
オーロンゲ
ザシアン
ノコッチ
ウーラオス
カミツルギ
ムーランド
シロデスナ
ヌメルゴン
エースバーン
クレベース
イベルタル
ザシアン
サンダー
ラプラス
ウーラオス
エースバーン
メタモン
パルシェン
リザードン
キリキザン
オノノクス
ストリンダ―
アマルルガ
カイリュー
ジバコイル
ゴチルゼル
ザシアン
ラプラス
ウーラオス
