---
アマルルガ
アーマーガア
イベルタル
インテレオン
ウオノラゴン
ウツロイド
ウーラオス
エルフーン
エルレイド
エースバーン
オトスパス
オノノクス
オーロンゲ
カイオーガ
カイリュー
カバルドン
カプコケコ
カプテテフ
カプレヒレ
カミツルギ
カメックス
ガオガエン
ガブリアス
ガマゲロゲ
ガラルサニーゴ
ガラルサンダー
ガラルダルマッカ
ガラルデスマス
ガラルヒヒダルマ
ガラルマッスグマ
ガラルヤドラン
キリキザン
キングドラ
ギガイアス
ギャラドス
ギルガルド
クレベース
ゲンガー
コータス
ゴチルゼル
ゴリランダー
サザンドラ
サマヨール
サンダー
サーナイト
ザシアン
ザマゼンタ
シロデスナ
ジガルデ
ジバコイル
ジャラランガ
スイクン
ストリンダ―
ゼルネアス
ソルガレオ
ゾロアーク
ツチニン
テッカグヤ
ディアルガ
ドラパルト
ドリュウズ
ナットレイ
ナマコブシ
ニョロトノ
ニンフィア
ヌオー
ヌメルゴン
ノコッチ
バクガメス
バシャーモ
パッチラゴン
パルシェン
ファイヤー
フシギバナ
フリーザー
ブラッキー
ブリザポス
ブリムオン
ホウオウ
ボスゴドラ
ボルトロス
ボーマンダ
ポットデス
ポリゴン２
マッシブーン
マホイップ
マホミル
マーシャドー
ミカルゲ
ミミッキュ
ミュウツー
ムゲンダイナ
ムーランド
メタモン
ユキハミ
ユクシー
ヨクバリス
ライチュウ
ラプラス
リオル
リザードン
ルナアーラ
レジエレキ
レジギガス
レジドラゴ
レントラー
水ロトム
白バドレックス
霊獣ボルトロス
霊獣ランドロス
黒バドレックス
